
0it [00:00, ?it/s]
935it [04:47,  5.37it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.6% logz-ratio=7.02+/-0.04 dlogz:2.177>0.1]
936it [04:47,  5.74it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.6% logz-ratio=7.02+/-0.04 dlogz:2.174>0.1]
937it [04:48,  2.65it/s, bound:0 nc:  7 ncall:2.6e+03 eff:36.6% logz-ratio=7.02+/-0.04 dlogz:2.172>0.1]
938it [04:48,  3.37it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.6% logz-ratio=7.02+/-0.04 dlogz:2.170>0.1]
939it [04:48,  3.77it/s, bound:0 nc:  2 ncall:2.6e+03 eff:36.6% logz-ratio=7.03+/-0.04 dlogz:2.167>0.1]
940it [04:48,  4.48it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.6% logz-ratio=7.03+/-0.04 dlogz:2.165>0.1]
941it [04:49,  3.40it/s, bound:0 nc:  4 ncall:2.6e+03 eff:36.6% logz-ratio=7.03+/-0.04 dlogz:2.163>0.1]
942it [04:49,  4.19it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.6% logz-ratio=7.03+/-0.04 dlogz:2.160>0.1]
943it [04:49,  4.32it/s, bound:0 nc:  2 ncall:2.6e+03 eff:36.6% logz-ratio=7.03+/-0.04 dlogz:2.158>0.1]
944it [04:49,  4.06it/s, bound:0 nc:  3 ncall:2.6e+03 eff:36.6% logz-ratio=7.03+/-0.04 dlogz:2.155>0.1]
945it [04:50,  2.88it/s, bound:0 nc:  5 ncall:2.6e+03 eff:36.6% logz-ratio=7.04+/-0.04 dlogz:2.153>0.1]
946it [04:50,  3.33it/s, bound:0 nc:  2 ncall:2.6e+03 eff:36.6% logz-ratio=7.04+/-0.04 dlogz:2.151>0.1]
948it [04:50,  4.20it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.7% logz-ratio=7.04+/-0.04 dlogz:2.146>0.1]
949it [04:50,  5.07it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.7% logz-ratio=7.04+/-0.04 dlogz:2.144>0.1]
950it [04:51,  3.69it/s, bound:0 nc:  5 ncall:2.6e+03 eff:36.7% logz-ratio=7.04+/-0.04 dlogz:2.141>0.1]
951it [04:51,  4.51it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.7% logz-ratio=7.05+/-0.04 dlogz:2.139>0.1]
952it [04:51,  5.40it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.7% logz-ratio=7.05+/-0.04 dlogz:2.137>0.1]
953it [04:51,  6.22it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.7% logz-ratio=7.05+/-0.04 dlogz:2.134>0.1]
954it [04:52,  3.92it/s, bound:0 nc:  5 ncall:2.6e+03 eff:36.7% logz-ratio=7.05+/-0.04 dlogz:2.132>0.1]
955it [04:52,  4.76it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.7% logz-ratio=7.05+/-0.04 dlogz:2.129>0.1]
956it [04:52,  2.78it/s, bound:0 nc:  6 ncall:2.6e+03 eff:36.7% logz-ratio=7.05+/-0.04 dlogz:2.127>0.1]
957it [04:53,  3.19it/s, bound:0 nc:  2 ncall:2.6e+03 eff:36.7% logz-ratio=7.06+/-0.04 dlogz:2.125>0.1]
958it [04:53,  3.75it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.7% logz-ratio=7.06+/-0.04 dlogz:2.123>0.1]
959it [04:53,  3.93it/s, bound:0 nc:  2 ncall:2.6e+03 eff:36.7% logz-ratio=7.06+/-0.04 dlogz:2.120>0.1]
960it [04:53,  3.11it/s, bound:0 nc:  5 ncall:2.6e+03 eff:36.7% logz-ratio=7.06+/-0.04 dlogz:2.118>0.1]
961it [04:54,  3.14it/s, bound:0 nc:  3 ncall:2.6e+03 eff:36.7% logz-ratio=7.06+/-0.04 dlogz:2.116>0.1]
962it [04:54,  3.25it/s, bound:0 nc:  2 ncall:2.6e+03 eff:36.7% logz-ratio=7.06+/-0.04 dlogz:2.113>0.1]
963it [04:54,  3.07it/s, bound:0 nc:  3 ncall:2.6e+03 eff:36.7% logz-ratio=7.07+/-0.04 dlogz:2.111>0.1]
964it [04:55,  3.01it/s, bound:0 nc:  2 ncall:2.6e+03 eff:36.7% logz-ratio=7.07+/-0.04 dlogz:2.109>0.1]
966it [04:55,  3.33it/s, bound:0 nc:  3 ncall:2.6e+03 eff:36.7% logz-ratio=7.07+/-0.04 dlogz:2.104>0.1]
967it [04:55,  4.04it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.7% logz-ratio=7.07+/-0.04 dlogz:2.102>0.1]
969it [04:55,  4.93it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.8% logz-ratio=7.07+/-0.04 dlogz:2.097>0.1]
970it [04:56,  5.61it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.8% logz-ratio=7.08+/-0.04 dlogz:2.095>0.1]
971it [04:56,  2.60it/s, bound:0 nc:  7 ncall:2.6e+03 eff:36.8% logz-ratio=7.08+/-0.04 dlogz:2.093>0.1]
972it [04:57,  2.36it/s, bound:0 nc:  5 ncall:2.6e+03 eff:36.7% logz-ratio=7.08+/-0.04 dlogz:2.090>0.1]
973it [04:57,  2.66it/s, bound:0 nc:  2 ncall:2.6e+03 eff:36.7% logz-ratio=7.08+/-0.04 dlogz:2.088>0.1]
974it [04:57,  3.14it/s, bound:0 nc:  1 ncall:2.6e+03 eff:36.8% logz-ratio=7.08+/-0.04 dlogz:2.086>0.1]
975it [04:58,  3.14it/s, bound:0 nc:  2 ncall:2.7e+03 eff:36.8% logz-ratio=7.08+/-0.04 dlogz:2.084>0.1]
976it [04:58,  2.60it/s, bound:0 nc:  3 ncall:2.7e+03 eff:36.8% logz-ratio=7.09+/-0.04 dlogz:2.081>0.1]
977it [04:59,  2.12it/s, bound:0 nc:  7 ncall:2.7e+03 eff:36.7% logz-ratio=7.09+/-0.04 dlogz:2.079>0.1]
978it [05:00,  1.93it/s, bound:0 nc:  6 ncall:2.7e+03 eff:36.7% logz-ratio=7.09+/-0.04 dlogz:2.077>0.1]
979it [05:00,  2.55it/s, bound:0 nc:  1 ncall:2.7e+03 eff:36.7% logz-ratio=7.09+/-0.04 dlogz:2.074>0.1]
980it [05:00,  2.41it/s, bound:0 nc:  5 ncall:2.7e+03 eff:36.6% logz-ratio=7.09+/-0.04 dlogz:2.072>0.1]
981it [05:00,  2.82it/s, bound:0 nc:  2 ncall:2.7e+03 eff:36.7% logz-ratio=7.09+/-0.04 dlogz:2.070>0.1]
982it [05:01,  2.65it/s, bound:0 nc:  4 ncall:2.7e+03 eff:36.6% logz-ratio=7.10+/-0.04 dlogz:2.068>0.1]
983it [05:01,  2.86it/s, bound:0 nc:  3 ncall:2.7e+03 eff:36.6% logz-ratio=7.10+/-0.04 dlogz:2.065>0.1]
984it [05:01,  3.59it/s, bound:0 nc:  1 ncall:2.7e+03 eff:36.7% logz-ratio=7.10+/-0.04 dlogz:2.063>0.1]
985it [05:01,  3.98it/s, bound:0 nc:  1 ncall:2.7e+03 eff:36.7% logz-ratio=7.10+/-0.04 dlogz:2.061>0.1]
986it [05:02,  4.30it/s, bound:0 nc:  2 ncall:2.7e+03 eff:36.7% logz-ratio=7.10+/-0.04 dlogz:2.059>0.1]
987it [05:02,  3.74it/s, bound:0 nc:  3 ncall:2.7e+03 eff:36.7% logz-ratio=7.10+/-0.04 dlogz:2.056>0.1]
988it [05:02,  4.14it/s, bound:0 nc:  2 ncall:2.7e+03 eff:36.7% logz-ratio=7.10+/-0.04 dlogz:2.054>0.1]
989it [05:02,  4.55it/s, bound:0 nc:  2 ncall:2.7e+03 eff:36.7% logz-ratio=7.11+/-0.04 dlogz:2.052>0.1]
990it [05:03,  2.73it/s, bound:0 nc:  7 ncall:2.7e+03 eff:36.7% logz-ratio=7.11+/-0.04 dlogz:2.050>0.1]
991it [05:03,  3.38it/s, bound:0 nc:  1 ncall:2.7e+03 eff:36.7% logz-ratio=7.11+/-0.04 dlogz:2.047>0.1]
992it [05:04,  3.02it/s, bound:0 nc:  4 ncall:2.7e+03 eff:36.7% logz-ratio=7.11+/-0.04 dlogz:2.045>0.1]
993it [05:04,  2.61it/s, bound:0 nc:  5 ncall:2.7e+03 eff:36.6% logz-ratio=7.11+/-0.04 dlogz:2.043>0.1]
995it [05:04,  3.26it/s, bound:0 nc:  2 ncall:2.7e+03 eff:36.7% logz-ratio=7.12+/-0.04 dlogz:2.039>0.1]
996it [05:04,  4.05it/s, bound:0 nc:  1 ncall:2.7e+03 eff:36.7% logz-ratio=7.12+/-0.04 dlogz:2.036>0.1]
997it [05:05,  4.71it/s, bound:0 nc:  1 ncall:2.7e+03 eff:36.7% logz-ratio=7.12+/-0.04 dlogz:2.034>0.1]
998it [05:05,  2.38it/s, bound:0 nc:  8 ncall:2.7e+03 eff:36.6% logz-ratio=7.12+/-0.04 dlogz:2.032>0.1]
999it [05:06,  2.19it/s, bound:0 nc:  4 ncall:2.7e+03 eff:36.6% logz-ratio=7.12+/-0.04 dlogz:2.030>0.1]
1000it [05:06,  2.45it/s, bound:0 nc:  3 ncall:2.7e+03 eff:36.6% logz-ratio=7.12+/-0.04 dlogz:2.028>0.1]
1001it [05:06,  3.15it/s, bound:0 nc:  1 ncall:2.7e+03 eff:36.6% logz-ratio=7.13+/-0.04 dlogz:2.025>0.1]
1002it [05:07,  3.25it/s, bound:0 nc:  3 ncall:2.7e+03 eff:36.6% logz-ratio=7.13+/-0.04 dlogz:2.023>0.1]
1003it [05:07,  3.09it/s, bound:0 nc:  3 ncall:2.7e+03 eff:36.6% logz-ratio=7.13+/-0.04 dlogz:2.021>0.1]
1004it [05:07,  2.98it/s, bound:0 nc:  4 ncall:2.7e+03 eff:36.6% logz-ratio=7.13+/-0.04 dlogz:2.019>0.1]
1005it [05:08,  3.37it/s, bound:0 nc:  2 ncall:2.7e+03 eff:36.6% logz-ratio=7.13+/-0.04 dlogz:2.017>0.1]
1006it [05:08,  3.98it/s, bound:0 nc:  1 ncall:2.7e+03 eff:36.6% logz-ratio=7.13+/-0.04 dlogz:2.014>0.1]
1007it [05:08,  3.07it/s, bound:0 nc:  4 ncall:2.7e+03 eff:36.6% logz-ratio=7.13+/-0.04 dlogz:2.012>0.1]
1008it [05:09,  2.96it/s, bound:0 nc:  3 ncall:2.8e+03 eff:36.6% logz-ratio=7.14+/-0.04 dlogz:2.010>0.1]
1009it [05:09,  2.95it/s, bound:0 nc:  3 ncall:2.8e+03 eff:36.6% logz-ratio=7.14+/-0.04 dlogz:2.008>0.1]
1010it [05:09,  3.41it/s, bound:0 nc:  2 ncall:2.8e+03 eff:36.6% logz-ratio=7.14+/-0.04 dlogz:2.006>0.1]
1012it [05:09,  3.93it/s, bound:0 nc:  2 ncall:2.8e+03 eff:36.7% logz-ratio=7.14+/-0.04 dlogz:2.001>0.1]
1013it [05:10,  3.38it/s, bound:0 nc:  4 ncall:2.8e+03 eff:36.6% logz-ratio=7.14+/-0.04 dlogz:1.999>0.1]
1014it [05:10,  3.07it/s, bound:0 nc:  4 ncall:2.8e+03 eff:36.6% logz-ratio=7.14+/-0.04 dlogz:1.997>0.1]
1015it [05:10,  3.30it/s, bound:0 nc:  3 ncall:2.8e+03 eff:36.6% logz-ratio=7.15+/-0.04 dlogz:1.995>0.1]
1016it [05:11,  4.11it/s, bound:0 nc:  1 ncall:2.8e+03 eff:36.7% logz-ratio=7.15+/-0.04 dlogz:1.993>0.1]
1017it [05:11,  4.86it/s, bound:0 nc:  1 ncall:2.8e+03 eff:36.7% logz-ratio=7.15+/-0.04 dlogz:1.990>0.1]
1018it [05:11,  4.92it/s, bound:0 nc:  2 ncall:2.8e+03 eff:36.7% logz-ratio=7.15+/-0.04 dlogz:1.988>0.1]
1019it [05:11,  5.59it/s, bound:0 nc:  1 ncall:2.8e+03 eff:36.7% logz-ratio=7.15+/-0.04 dlogz:1.986>0.1]
1020it [05:12,  3.58it/s, bound:0 nc:  6 ncall:2.8e+03 eff:36.7% logz-ratio=7.15+/-0.04 dlogz:1.984>0.1]
1021it [05:12,  2.57it/s, bound:0 nc:  7 ncall:2.8e+03 eff:36.6% logz-ratio=7.16+/-0.04 dlogz:1.982>0.1]
1022it [05:12,  3.07it/s, bound:0 nc:  2 ncall:2.8e+03 eff:36.6% logz-ratio=7.16+/-0.04 dlogz:1.980>0.1]
1023it [05:13,  3.05it/s, bound:0 nc:  3 ncall:2.8e+03 eff:36.6% logz-ratio=7.16+/-0.04 dlogz:1.978>0.1]
1024it [05:13,  3.36it/s, bound:0 nc:  1 ncall:2.8e+03 eff:36.6% logz-ratio=7.16+/-0.04 dlogz:1.975>0.1]
1025it [05:13,  3.27it/s, bound:0 nc:  3 ncall:2.8e+03 eff:36.6% logz-ratio=7.16+/-0.04 dlogz:1.973>0.1]
1026it [05:13,  3.77it/s, bound:0 nc:  2 ncall:2.8e+03 eff:36.6% logz-ratio=7.16+/-0.04 dlogz:1.971>0.1]
1027it [05:14,  3.02it/s, bound:0 nc:  5 ncall:2.8e+03 eff:36.6% logz-ratio=7.16+/-0.04 dlogz:1.969>0.1]
1028it [05:15,  2.09it/s, bound:0 nc:  8 ncall:2.8e+03 eff:36.5% logz-ratio=7.17+/-0.04 dlogz:1.967>0.1]
1029it [05:15,  2.72it/s, bound:0 nc:  1 ncall:2.8e+03 eff:36.6% logz-ratio=7.17+/-0.04 dlogz:1.965>0.1]
1030it [05:15,  3.40it/s, bound:0 nc:  1 ncall:2.8e+03 eff:36.6% logz-ratio=7.17+/-0.04 dlogz:1.963>0.1]
1031it [05:15,  3.38it/s, bound:0 nc:  3 ncall:2.8e+03 eff:36.6% logz-ratio=7.17+/-0.04 dlogz:1.961>0.1]
1032it [05:16,  3.33it/s, bound:0 nc:  3 ncall:2.8e+03 eff:36.6% logz-ratio=7.17+/-0.04 dlogz:1.958>0.1]
1033it [05:16,  2.97it/s, bound:0 nc:  4 ncall:2.8e+03 eff:36.6% logz-ratio=7.17+/-0.04 dlogz:1.956>0.1]
1034it [05:16,  2.95it/s, bound:0 nc:  3 ncall:2.8e+03 eff:36.6% logz-ratio=7.17+/-0.04 dlogz:1.954>0.1]
1035it [05:16,  3.62it/s, bound:0 nc:  1 ncall:2.8e+03 eff:36.6% logz-ratio=7.18+/-0.04 dlogz:1.952>0.1]
1036it [05:17,  2.76it/s, bound:0 nc:  5 ncall:2.8e+03 eff:36.6% logz-ratio=7.18+/-0.04 dlogz:1.950>0.1]
1037it [05:17,  2.78it/s, bound:0 nc:  3 ncall:2.8e+03 eff:36.6% logz-ratio=7.18+/-0.04 dlogz:1.948>0.1]
1038it [05:18,  3.48it/s, bound:0 nc:  1 ncall:2.8e+03 eff:36.6% logz-ratio=7.18+/-0.04 dlogz:1.946>0.1]
1039it [05:19,  2.01it/s, bound:0 nc:  9 ncall:2.8e+03 eff:36.5% logz-ratio=7.18+/-0.04 dlogz:1.944>0.1]
1040it [05:19,  2.43it/s, bound:0 nc:  2 ncall:2.8e+03 eff:36.5% logz-ratio=7.18+/-0.04 dlogz:1.942>0.1]
1041it [05:19,  2.42it/s, bound:0 nc:  4 ncall:2.9e+03 eff:36.5% logz-ratio=7.18+/-0.04 dlogz:1.940>0.1]
1042it [05:19,  2.55it/s, bound:0 nc:  3 ncall:2.9e+03 eff:36.5% logz-ratio=7.19+/-0.04 dlogz:1.937>0.1]
1043it [05:20,  1.76it/s, bound:0 nc:  6 ncall:2.9e+03 eff:36.4% logz-ratio=7.19+/-0.04 dlogz:1.935>0.1]
1044it [05:21,  2.03it/s, bound:0 nc:  3 ncall:2.9e+03 eff:36.4% logz-ratio=7.19+/-0.04 dlogz:1.933>0.1]
1045it [05:21,  2.17it/s, bound:0 nc:  4 ncall:2.9e+03 eff:36.4% logz-ratio=7.19+/-0.04 dlogz:1.931>0.1]
1046it [05:22,  1.98it/s, bound:0 nc:  6 ncall:2.9e+03 eff:36.4% logz-ratio=7.19+/-0.04 dlogz:1.929>0.1]
1047it [05:22,  2.59it/s, bound:0 nc:  1 ncall:2.9e+03 eff:36.4% logz-ratio=7.19+/-0.04 dlogz:1.927>0.1]
1048it [05:23,  1.95it/s, bound:0 nc:  8 ncall:2.9e+03 eff:36.3% logz-ratio=7.19+/-0.04 dlogz:1.925>0.1]
1049it [05:23,  2.55it/s, bound:0 nc:  1 ncall:2.9e+03 eff:36.4% logz-ratio=7.20+/-0.04 dlogz:1.923>0.1]
1050it [05:23,  2.56it/s, bound:0 nc:  4 ncall:2.9e+03 eff:36.3% logz-ratio=7.20+/-0.04 dlogz:1.921>0.1]
1051it [05:25,  1.34it/s, bound:0 nc: 14 ncall:2.9e+03 eff:36.2% logz-ratio=7.20+/-0.04 dlogz:1.919>0.1]
1053it [05:26,  1.46it/s, bound:0 nc: 10 ncall:2.9e+03 eff:36.1% logz-ratio=7.20+/-0.04 dlogz:1.915>0.1]
1054it [05:26,  1.71it/s, bound:0 nc:  4 ncall:2.9e+03 eff:36.1% logz-ratio=7.20+/-0.04 dlogz:1.913>0.1]
1056it [05:27,  2.09it/s, bound:0 nc:  4 ncall:2.9e+03 eff:36.1% logz-ratio=7.21+/-0.04 dlogz:1.909>0.1]
1057it [05:27,  2.20it/s, bound:0 nc:  4 ncall:2.9e+03 eff:36.1% logz-ratio=7.21+/-0.04 dlogz:1.907>0.1]
1059it [05:27,  2.66it/s, bound:0 nc:  3 ncall:2.9e+03 eff:36.1% logz-ratio=7.21+/-0.04 dlogz:1.903>0.1]
1060it [05:28,  3.18it/s, bound:0 nc:  2 ncall:2.9e+03 eff:36.1% logz-ratio=7.21+/-0.04 dlogz:1.900>0.1]
1061it [05:28,  3.22it/s, bound:0 nc:  3 ncall:2.9e+03 eff:36.1% logz-ratio=7.21+/-0.04 dlogz:1.898>0.1]
1062it [05:29,  2.51it/s, bound:0 nc:  7 ncall:2.9e+03 eff:36.1% logz-ratio=7.21+/-0.04 dlogz:1.896>0.1]
1063it [05:29,  3.23it/s, bound:0 nc:  1 ncall:2.9e+03 eff:36.1% logz-ratio=7.22+/-0.04 dlogz:1.894>0.1]
1065it [05:29,  3.93it/s, bound:0 nc:  2 ncall:2.9e+03 eff:36.1% logz-ratio=7.22+/-0.04 dlogz:1.890>0.1]
1066it [05:29,  4.78it/s, bound:0 nc:  1 ncall:2.9e+03 eff:36.2% logz-ratio=7.22+/-0.04 dlogz:1.888>0.1]
1068it [05:29,  5.33it/s, bound:0 nc:  2 ncall:3.0e+03 eff:36.2% logz-ratio=7.22+/-0.04 dlogz:1.884>0.1]
1070it [05:29,  6.35it/s, bound:0 nc:  1 ncall:3.0e+03 eff:36.2% logz-ratio=7.22+/-0.04 dlogz:1.880>0.1]
1071it [05:30,  5.77it/s, bound:0 nc:  2 ncall:3.0e+03 eff:36.2% logz-ratio=7.23+/-0.04 dlogz:1.878>0.1]
1073it [05:30,  5.63it/s, bound:0 nc:  3 ncall:3.0e+03 eff:36.3% logz-ratio=7.23+/-0.04 dlogz:1.874>0.1]
1074it [05:30,  4.38it/s, bound:0 nc:  4 ncall:3.0e+03 eff:36.2% logz-ratio=7.23+/-0.04 dlogz:1.872>0.1]
1075it [05:31,  2.15it/s, bound:0 nc: 12 ncall:3.0e+03 eff:36.1% logz-ratio=7.23+/-0.04 dlogz:1.870>0.1]
1077it [05:32,  2.75it/s, bound:0 nc:  2 ncall:3.0e+03 eff:36.2% logz-ratio=7.23+/-0.04 dlogz:1.866>0.1]
1078it [05:32,  3.26it/s, bound:0 nc:  2 ncall:3.0e+03 eff:36.2% logz-ratio=7.24+/-0.04 dlogz:1.864>0.1]
1080it [05:32,  4.14it/s, bound:0 nc:  1 ncall:3.0e+03 eff:36.2% logz-ratio=7.24+/-0.04 dlogz:1.860>0.1]
1081it [05:32,  4.61it/s, bound:0 nc:  2 ncall:3.0e+03 eff:36.2% logz-ratio=7.24+/-0.04 dlogz:1.859>0.1]
1082it [05:32,  4.72it/s, bound:0 nc:  2 ncall:3.0e+03 eff:36.2% logz-ratio=7.24+/-0.04 dlogz:1.857>0.1]
1083it [05:33,  4.07it/s, bound:0 nc:  4 ncall:3.0e+03 eff:36.2% logz-ratio=7.24+/-0.04 dlogz:1.855>0.1]
1084it [05:33,  3.02it/s, bound:0 nc:  6 ncall:3.0e+03 eff:36.2% logz-ratio=7.24+/-0.04 dlogz:1.853>0.1]
1085it [05:33,  3.55it/s, bound:0 nc:  2 ncall:3.0e+03 eff:36.2% logz-ratio=7.24+/-0.04 dlogz:1.851>0.1]
1086it [05:34,  3.77it/s, bound:0 nc:  2 ncall:3.0e+03 eff:36.2% logz-ratio=7.25+/-0.04 dlogz:1.849>0.1]
1087it [05:34,  3.21it/s, bound:0 nc:  5 ncall:3.0e+03 eff:36.2% logz-ratio=7.25+/-0.04 dlogz:1.847>0.1]
1088it [05:34,  2.99it/s, bound:0 nc:  1 ncall:3.0e+03 eff:36.2% logz-ratio=7.25+/-0.04 dlogz:1.845>0.1]
1090it [05:35,  3.79it/s, bound:0 nc:  1 ncall:3.0e+03 eff:36.2% logz-ratio=7.25+/-0.04 dlogz:1.841>0.1]
1091it [05:35,  2.71it/s, bound:0 nc:  7 ncall:3.0e+03 eff:36.2% logz-ratio=7.25+/-0.04 dlogz:1.839>0.1]
1092it [05:35,  2.94it/s, bound:0 nc:  3 ncall:3.0e+03 eff:36.2% logz-ratio=7.25+/-0.04 dlogz:1.837>0.1]
1093it [05:36,  3.46it/s, bound:0 nc:  2 ncall:3.0e+03 eff:36.2% logz-ratio=7.26+/-0.04 dlogz:1.835>0.1]
1095it [05:36,  4.38it/s, bound:0 nc:  1 ncall:3.0e+03 eff:36.2% logz-ratio=7.26+/-0.04 dlogz:1.831>0.1]
1096it [05:36,  3.03it/s, bound:0 nc:  7 ncall:3.0e+03 eff:36.2% logz-ratio=7.26+/-0.04 dlogz:1.829>0.1]
1097it [05:37,  3.33it/s, bound:0 nc:  3 ncall:3.0e+03 eff:36.2% logz-ratio=7.26+/-0.04 dlogz:1.827>0.1]
1098it [05:37,  3.00it/s, bound:0 nc:  5 ncall:3.0e+03 eff:36.2% logz-ratio=7.26+/-0.04 dlogz:1.826>0.1]
1099it [05:37,  3.24it/s, bound:0 nc:  3 ncall:3.0e+03 eff:36.2% logz-ratio=7.26+/-0.04 dlogz:1.824>0.1]
1101it [05:37,  4.19it/s, bound:0 nc:  1 ncall:3.0e+03 eff:36.2% logz-ratio=7.27+/-0.04 dlogz:1.820>0.1]
1102it [05:38,  4.55it/s, bound:0 nc:  2 ncall:3.0e+03 eff:36.2% logz-ratio=7.27+/-0.04 dlogz:1.818>0.1]
1104it [05:38,  4.57it/s, bound:0 nc:  4 ncall:3.0e+03 eff:36.2% logz-ratio=7.27+/-0.04 dlogz:1.814>0.1]
1106it [05:39,  4.18it/s, bound:0 nc:  5 ncall:3.1e+03 eff:36.2% logz-ratio=7.27+/-0.04 dlogz:1.810>0.1]
1107it [05:39,  3.88it/s, bound:0 nc:  3 ncall:3.1e+03 eff:36.2% logz-ratio=7.27+/-0.04 dlogz:1.808>0.1]
1109it [05:39,  4.65it/s, bound:0 nc:  2 ncall:3.1e+03 eff:36.2% logz-ratio=7.28+/-0.04 dlogz:1.805>0.1]
1110it [05:39,  4.31it/s, bound:0 nc:  3 ncall:3.1e+03 eff:36.2% logz-ratio=7.28+/-0.04 dlogz:1.803>0.1]
1112it [05:40,  4.95it/s, bound:0 nc:  2 ncall:3.1e+03 eff:36.3% logz-ratio=7.28+/-0.04 dlogz:1.799>0.1]
1113it [05:40,  5.79it/s, bound:0 nc:  1 ncall:3.1e+03 eff:36.3% logz-ratio=7.28+/-0.04 dlogz:1.797>0.1]
1114it [05:40,  4.95it/s, bound:0 nc:  3 ncall:3.1e+03 eff:36.3% logz-ratio=7.28+/-0.04 dlogz:1.795>0.1]
1115it [05:40,  5.60it/s, bound:0 nc:  1 ncall:3.1e+03 eff:36.3% logz-ratio=7.28+/-0.04 dlogz:1.793>0.1]
1116it [05:41,  3.45it/s, bound:0 nc:  6 ncall:3.1e+03 eff:36.3% logz-ratio=7.28+/-0.04 dlogz:1.791>0.1]
1117it [05:41,  2.49it/s, bound:0 nc:  7 ncall:3.1e+03 eff:36.2% logz-ratio=7.29+/-0.04 dlogz:1.789>0.1]
1119it [05:42,  2.33it/s, bound:0 nc:  9 ncall:3.1e+03 eff:36.2% logz-ratio=7.29+/-0.04 dlogz:1.786>0.1]
1120it [05:43,  2.39it/s, bound:0 nc:  4 ncall:3.1e+03 eff:36.1% logz-ratio=7.29+/-0.04 dlogz:1.784>0.1]
1121it [05:43,  2.86it/s, bound:0 nc:  2 ncall:3.1e+03 eff:36.1% logz-ratio=7.29+/-0.04 dlogz:1.782>0.1]
1122it [05:43,  3.00it/s, bound:0 nc:  3 ncall:3.1e+03 eff:36.1% logz-ratio=7.29+/-0.04 dlogz:1.780>0.1]
1123it [05:44,  3.15it/s, bound:0 nc:  3 ncall:3.1e+03 eff:36.1% logz-ratio=7.29+/-0.04 dlogz:1.778>0.1]
1124it [05:44,  3.53it/s, bound:0 nc:  2 ncall:3.1e+03 eff:36.2% logz-ratio=7.29+/-0.04 dlogz:1.776>0.1]
1125it [05:44,  3.41it/s, bound:0 nc:  3 ncall:3.1e+03 eff:36.2% logz-ratio=7.30+/-0.04 dlogz:1.774>0.1]
1127it [05:45,  3.37it/s, bound:0 nc:  6 ncall:3.1e+03 eff:36.1% logz-ratio=7.30+/-0.04 dlogz:1.771>0.1]
1128it [05:45,  3.77it/s, bound:0 nc:  2 ncall:3.1e+03 eff:36.1% logz-ratio=7.30+/-0.04 dlogz:1.769>0.1]
1130it [05:45,  4.78it/s, bound:0 nc:  1 ncall:3.1e+03 eff:36.2% logz-ratio=7.30+/-0.04 dlogz:1.765>0.1]
1132it [05:45,  5.70it/s, bound:0 nc:  1 ncall:3.1e+03 eff:36.2% logz-ratio=7.30+/-0.04 dlogz:1.761>0.1]
1134it [05:45,  6.59it/s, bound:0 nc:  1 ncall:3.1e+03 eff:36.3% logz-ratio=7.31+/-0.04 dlogz:1.758>0.1]
1135it [05:46,  6.28it/s, bound:0 nc:  2 ncall:3.1e+03 eff:36.3% logz-ratio=7.31+/-0.04 dlogz:1.756>0.1]
1136it [05:46,  4.57it/s, bound:0 nc:  4 ncall:3.1e+03 eff:36.3% logz-ratio=7.31+/-0.04 dlogz:1.754>0.1]
1137it [05:46,  4.32it/s, bound:0 nc:  3 ncall:3.1e+03 eff:36.3% logz-ratio=7.31+/-0.04 dlogz:1.752>0.1]
1139it [05:46,  5.29it/s, bound:0 nc:  1 ncall:3.1e+03 eff:36.3% logz-ratio=7.31+/-0.04 dlogz:1.749>0.1]
1140it [05:47,  3.04it/s, bound:0 nc:  8 ncall:3.1e+03 eff:36.2% logz-ratio=7.31+/-0.04 dlogz:1.747>0.1]
1141it [05:47,  2.75it/s, bound:0 nc:  5 ncall:3.2e+03 eff:36.2% logz-ratio=7.32+/-0.04 dlogz:1.745>0.1]
1142it [05:48,  3.25it/s, bound:0 nc:  2 ncall:3.2e+03 eff:36.2% logz-ratio=7.32+/-0.04 dlogz:1.743>0.1]
1143it [05:48,  3.10it/s, bound:0 nc:  4 ncall:3.2e+03 eff:36.2% logz-ratio=7.32+/-0.04 dlogz:1.741>0.1]
1144it [05:48,  3.23it/s, bound:0 nc:  3 ncall:3.2e+03 eff:36.2% logz-ratio=7.32+/-0.04 dlogz:1.739>0.1]
1145it [05:48,  3.72it/s, bound:0 nc:  2 ncall:3.2e+03 eff:36.2% logz-ratio=7.32+/-0.04 dlogz:1.738>0.1]
